id,name,year,price,mileage,transmission,fuel,badge,isAvailable
1,Audi Q5 Progressive S-Line,2022,35 995 CAD,"93,000 km",Automatique,Essence,Disponible,True
2,Audi RS7 Carbon Optic Exclusive,2018,88 900 CAD,"82,323 km",Automatique,Essence,Disponible,True
3,Bmw 320XI,2017,13 995 CAD,"151,000 km",Automatique,Essence,Disponible,True
4,Chrysler 300C,2014,14 800 CAD,"141,430 km",Automatique,Essence,Disponible,True
5,Ford Edge,2014,11 500 CAD,"147,000 km",Automatique,Essence,Disponible,True
6,Ford Edge Sport,2017,17 895 CAD,"164,546 km",Automatique,Essence,Disponible,True
7,Ford Fusion,2012,4 200 CAD,163 000 km,Automatique,Essence,Vendu,False
8,Golf GTI APR Stg 3,2016,17 777 CAD,"143,000 km",Manuelle,Essence,Vendu,False
9,Honda Civic Black,2023,23 000 CAD,"88,000 km",Automatique,Essence,Vendu,False
10,Honda Civic Red,2019,18 000 CAD,"55,000 km",Automatique,Essence,Vendu,False
11,Hummer H3,2006,9 999 CAD,"122,340 km",Automatique,Essence,Vendu,False
12,Hyundai Elantra,2017,10 900 CAD,"163,800 km",Automatique,Essence,Vendu,False
13,Infiniti QX50,2015,8 950 CAD,"175,000 km",Automatique,Essence,Vendu,False
14,Kia Sedona,2020,19 995 CAD,"93,000 km",Automatique,Essence,Disponible,True
15,Mercedes C300 4MATIC AMG,2016,17 995 CAD,"102,000 km",Automatique,Essence,Disponible,True
16,Mercedes C63 P31 Package,2013,41 099 CAD,"73,000 km",Automatique,Essence,Vendu,False
17,Nissan Rogue SL,2014,13 995 CAD,"104,200 km",Automatique,Essence,Disponible,True
18,Nissan Sentra,2012,5 200 CAD,"83,000 km",Automatique,Essence,Vendu,False
19,Range Rover Super Charged,2019,49 999 CAD,"103,000 km",Automatique,Diesel,Disponible,True
20,Volvo XC90,2005,5 750 CAD,"141,000 km",Automatique,Essence,Disponible,True
